Ticker,Name,Currency,Market cap (m),Price,Change,Change %
RDSA,ROYAL DUTCH SHELL PLC 'A' ORD EUR0.07,GBX,"56,006.53","1,373.80",8.2,0.60%
BGS,BAILLIE GIFFORD SHIN NIPPON PLC ORD 2P,GBX,760.54,251.5,1.5,0.60%
JFJ,JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,GBX,"1,137.16",716,4,0.56%
FUTR,FUTURE PLC ORD 15P,GBX,"1,803.48","1,850.00",10,0.54%
AJB,AJ BELL PLC ORD GBP0.000125,GBX,"1,892.27",463.5,2.5,0.54%
BRWM,BLACKROCK WORLD MINING TRUST PLC ORD 5P,GBX,987.5,572,3,0.53%
VEC,VECTURA GROUP PLC ORD 0.0271P,GBX,687.74,116,0.6,0.52%
TALK,TALKTALK TELECOM GROUP PLC ORD 0.1P,GBX,"1,105.58",96.95,0.5,0.52%
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"9,464.52",513,2.6,0.51%
INCH,INCHCAPE PLC ORD 10P,GBX,"2,717.53",694.5,3.5,0.51%
HL.,HARGREAVES LANSDOWN PLC ORD 0.4P,GBX,"7,717.16","1,635.00",8,0.49%
RDSB,ROYAL DUTCH SHELL PLC 'B' ORD EUR0.07,GBX,"48,373.11","1,311.60",6.4,0.49%
JMG,JPMORGAN EMERGING MKTS INV TRST PLC ORD 2.5P,GBX,"1,738.64",146.8,0.7,0.48%
RSW,RENISHAW PLC ORD 20P,GBX,"4,607.51","6,360.00",30,0.47%
GSK,GLAXOSMITHKLINE PLC ORD 25P,GBX,"63,893.95","1,276.00",6,0.47%
APAX,APAX GLOBAL ALPHA LIMITED ORD NPV,GBX,"1,043.59",213.5,1,0.47%
NWG,NATWEST GROUP PLC ORD 100P,GBX,"20,934.99",173.4,0.8,0.46%
DLG,DIRECT LINE INSURANCE GROUP PLC ORD 10 10/11P,GBX,"4,150.97",305.6,1.4,0.46%
SXS,SPECTRIS PLC ORD 5P,GBX,"3,602.62","3,113.00",14,0.45%
MKS,MARKS & SPENCER GROUP PLC ORD 25P,GBX,"2,625.52",134.8,0.6,0.45%
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"17,931.42","2,275.00",10,0.44%
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"19,707.09","1,377.00",6,0.44%
SGRO,SEGRO PLC ORD 10P,GBX,"11,455.84",965.6,4.2,0.44%
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,GBX,"3,144.31",183.7,0.8,0.44%
IEM,IMPAX ENVIRONMENTAL MARKETS PLC ORD 10P,GBX,"1,308.60",486,2,0.41%
SYNT,SYNTHOMER PLC ORD 10P,GBX,"1,910.98",451.6,1.8,0.40%
PAG,PARAGON BANKING GROUP PLC ORD 100P,GBX,"1,159.29",453.4,1.8,0.40%
IGG,IG GROUP HOLDINGS PLC ORD 0.005P,GBX,"2,782.80",754.5,3,0.40%
FOUR,4IMPRINT GROUP PLC ORD 38 6/13P,GBX,710.56,"2,540.00",10,0.40%
CBG,CLOSE BROS GROUP PLC ORD 25P,GBX,"2,306.10","1,536.00",6,0.39%
IHP,INTEGRAFIN HOLDINGS PLC ORD 1P,GBX,"1,752.69",531,2,0.38%
IPO,IP GROUP PLC ORD 2P,GBX,"1,126.09",106.4,0.4,0.38%
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"8,654.51","2,928.00",11,0.38%
DOM,DOMINO'S PIZZA GROUP PLC ORD 25/48P,GBX,"1,578.59",337.8,1.2,0.36%
AGK,AGGREKO PLC ORD 4 329/395P,GBX,"2,179.65",854,3,0.35%
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"35,528.63",132.86,0.46,0.35%
PNN,PENNON GROUP PLC ORD 40.7P,GBX,"3,864.56",918.6,3,0.33%
CNE,CAIRN ENERGY PLC ORD 21/13P,GBX,913.37,183.6,0.6,0.33%
JTC,JTC PLC ORD GBP0.01,GBX,771.89,632,2,0.32%
AVON,AVON RUBBER PLC ORD #1,GBX,983.44,"3,180.00",10,0.32%
KNOS,KAINOS GROUP PLC ORD 0.5P,GBX,"1,633.58","1,336.00",4,0.30%
CWK,CRANSWICK PLC ORD 10P,GBX,"1,826.60","3,482.00",10,0.29%
BME,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),GBX,"5,640.13",565.2,1.6,0.28%
OSB,OSB GROUP PLC ORD 304P,GBX,"1,907.34",427.6,1.2,0.28%
PHP,PRIMARY HEALTH PROPERTIES PLC ORD 12.5P,GBX,"1,940.13",146.6,0.4,0.27%
KAZ,KAZ MINERALS PLC ORD 20P,GBX,"3,809.19",808.4,2.2,0.27%
USA,BAILLIE GIFFORD US GROWTH TRUST PLC ORD GBP0.01,GBX,"1,103.95",373,1,0.27%
QQ.,QINETIQ GROUP PLC ORD 1P,GBX,"1,740.00",303.8,0.8,0.26%
VCT,VICTREX PLC ORD 1P,GBX,"2,003.92","2,316.00",6,0.26%
MRW,MORRISON(WM.)SUPERMARKETS PLC ORD 10P,GBX,"4,176.02",173.75,0.45,0.26%
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"5,324.53","2,316.00",6,0.26%
JLG,JOHN LAING GROUP PLC ORD 10P,GBX,"1,582.35",321.6,0.8,0.25%
HTWS,HELIOS TOWERS PLC ORD 1P,GBX,"1,712.00",171.6,0.4,0.23%
BRSC,BLACKROCK SMALLER COMPANIES TST PLC ORD 25P,GBX,833.04,"1,710.00",4,0.23%
GFS,G4S PLC ORD 25P,GBX,"4,043.46",261.2,0.6,0.23%
MSLH,MARSHALLS PLC ORD 25P,GBX,"1,318.34",660.5,1.5,0.23%
RB.,RECKITT BENCKISER GROUP PLC ORD 10P,GBX,"43,906.68","6,174.00",14,0.23%
DCC,DCC PLC ORD EUR0.25,GBX,"5,635.66","5,730.00",12,0.21%
HFG,HILTON FOOD GROUP PLC ORD 10P,GBX,866.96,"1,060.00",2,0.19%
EDIN,EDINBURGH INV TST PLC ORD 25P,GBX,940.12,547,1,0.18%
FEV,FIDELITY EUROPEAN VALUES PLC ORD 2.5P,GBX,"1,160.33",282.5,0.5,0.18%
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"5,420.15","2,273.00",4,0.18%
FLTR,FLUTTER ENTERTAINMENT PLC ORD EUR0.09,GBX,"25,015.63","14,290.00",25,0.18%
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"5,203.04",234.3,0.4,0.17%
RHIM,RHI MAGNESITA N.V. ORD EUR1.00 (DI),GBX,"1,888.90","3,882.00",6,0.16%
ULE,ULTRA ELECTRONICS HOLDINGS PLC ORD 5P,GBX,"1,382.82","1,947.00",3,0.15%
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP ORD NPV,GBX,"2,493.46",131.2,0.2,0.15%
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED ORD 25P,GBX,875.8,67.5,0.1,0.15%
PETS,PETS AT HOME GROUP PLC ORD 1P,GBX,"2,070.00",414.6,0.6,0.15%
EWI,EDINBURGH WORLDWIDE INV TRUST PLC ORD 1P,GBX,"1,576.32",415,0.5,0.12%
SSPG,SSP GROUP PLC ORD 1 17/200P,GBX,"1,818.37",338.6,0.4,0.12%
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"3,097.35",52.84,0.06,0.11%
WMH,WILLIAM HILL PLC ORD 10P,GBX,"2,836.90",270.3,0.3,0.11%
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"95,682.60","7,296.00",7,0.10%
DPLM,DIPLOMA PLC ORD 5P,GBX,"2,964.61","2,382.00",2,0.08%
JMAT,JOHNSON MATTHEY PLC ORD 110 49/53P,GBX,"5,620.21","2,906.00",2,0.07%
BARC,BARCLAYS PLC ORD 25P,GBX,"25,603.73",147.58,0.1,0.07%
WG.,WOOD GROUP (JOHN) PLC ORD 4 2/7P,GBX,"2,094.62",304.5,0.2,0.07%
BDEV,BARRATT DEVELOPMENTS PLC ORD 10P,GBX,"7,077.32",695.4,0.4,0.06%
SDR,SCHRODERS PLC VTG SHS Â£1,GBX,"7,953.73","3,521.00",2,0.06%
SKG,SMURFIT KAPPA GROUP PLC ORD EUR0.001,GBX,"9,142.80","3,546.00",2,0.06%
AAL,ANGLO AMERICAN PLC ORD USD0.54945,GBX,"35,182.08","2,582.00",1,0.04%
WWH,WORLDWIDE HEALTHCARE TRUST PLC ORD 25P,GBX,"2,482.30","3,930.00",-,-
UKW,GREENCOAT UK WIND PLC ORD 1P,GBX,"2,554.21",140,-,-
TEP,TELECOM PLUS PLC ORD 5P,GBX,"1,018.96","1,294.00",-,-
TEP,TELECOM PLUS PLC ORD 5P,GBX,"1,018.96","1,294.00",-,-
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P,GBX,"2,469.31","1,694.00",-,-
SOI,SCHRODER ORIENTAL INCOME FUND LD ORD 1P,GBX,735.53,274,-,-
SDP,SCHRODER ASIA PACIFIC FUND ORD 10P,GBX,"1,116.03",669,-,-
RCP,RIT CAPITAL PARTNERS PLC ORD Â£1,GBX,"3,408.92","2,175.00",-,-
PLP,POLYPIPE GROUP PLC ORD GBP0.001,GBX,"1,201.73",526,-,-
PHNX,PHOENIX GROUP HOLDINGS PLC ORD 10P,GBX,"6,966.65",697.2,-,-
MUT,MURRAY INCOME TRUST PLC ORD 25P,GBX,976.17,834,-,-
MRC,MERCANTILE INVESTMENT TST (THE) PLC ORD 2.5P,GBX,"2,014.43",254.5,-,-
MNKS,MONKS INV TST PLC ORD 5P,GBX,"3,323.61","1,436.00",-,-
LWDB,LAW DEBENTURE CORPORATION PLC ORD 5P,GBX,813.79,687,-,-
LIO,LIONTRUST ASSET MANAGEMENT PLC ORD 1P,GBX,731.37,"1,200.00",-,-
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,591.21",619.2,-,-
ICGT,ICG ENTERPRISE TRUST PLC ORD 10P,GBX,687.67,"1,000.00",-,-
GLO,CONTOURGLOBAL PLC ORD 1P,GBX,"1,369.07",208.5,-,-
FSV,FIDELITY SPECIAL VALUES PLC ORD 5P,GBX,730.78,247.5,-,-
FSFL,FORESIGHT SOLAR FUND LD ORD NPV,GBX,616.83,101.5,-,-
CSH,CIVITAS SOCIAL HOUSING PLC ORD 1P,GBX,678.84,109.2,-,-
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"7,124.51","1,760.00",-,-
BOY,BODYCOTE PLC ORD 17 3/11P,GBX,"1,391.89",727,-,-
AO.,AO WORLD PLC ORD 0.25P,GBX,"1,509.80",315.5,-,-
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"6,124.72",897.6,-0.6,-0.07%
CLSN,CALISEN PLC ORD GBP0.01,GBX,"1,423.11",259.5,-0.2,-0.08%
RSA,RSA INSURANCE GROUP PLC ORD GBP1.00,GBX,"7,011.11",676.6,-0.6,-0.09%
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"13,520.91","1,540.00",-1.5,-0.10%
PNL,PERSONAL ASSETS TRUST PLC ORD Â£12.50,GBX,"1,418.84","45,500.00",-50,-0.11%
VOF,VINACAPITAL VIETNAM OPP. FUND LD ORD $0.01,GBX,735.12,430.5,-0.5,-0.12%
INF,INFORMA PLC ORD 0.1P,GBX,"7,736.01",514.4,-0.6,-0.12%
ESNT,ESSENTRA PLC ORD 25P,GBX,907.46,300.4,-0.4,-0.13%
ATT,ALLIANZ TECHNOLOGY TRUST PLC ORD 25P,GBX,"1,355.29","3,185.00",-5,-0.16%
ASL,ABERFORTH SMALLER COMPANIES TST PLC ORD 1P,GBX,"1,123.23","1,264.00",-2,-0.16%
HLMA,HALMA PLC ORD 10P,GBX,"9,426.59","2,479.00",-4,-0.16%
BT.A,BT GROUP PLC ORD 5P,GBX,"12,158.32",122.4,-0.2,-0.16%
ASCL,ASCENTIAL PLC ORD 1P,GBX,"1,467.11",363.6,-0.6,-0.17%
3IN,3I INFRASTRUCTURE PLC ORD NPV,GBX,"2,643.10",296,-0.5,-0.17%
BYG,BIG YELLOW GROUP PLC ORD 10P,GBX,"2,006.23","1,139.00",-2,-0.18%
MYI,MURRAY INTERNATIONAL TRUST PLC ORD 25P,GBX,"1,450.96","1,128.00",-2,-0.18%
NXT,NEXT PLC ORD 10P,GBX,"10,473.74","7,864.00",-14,-0.18%
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INC ORD NPV,GBX,"1,842.85",111,-0.2,-0.18%
DLN,DERWENT LONDON PLC ORD 5P,GBX,"3,562.61","3,176.00",-6,-0.19%
TEM,TEMPLETON EMERGING MARKETS IT PLC ORD 25P,GBX,"2,485.31","1,050.00",-2,-0.19%
GRG,GREGGS PLC ORD 2P,GBX,"2,092.32","2,058.00",-4,-0.19%
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,024.73",200.4,-0.4,-0.20%
HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY L ORD NPV,GBX,"1,562.11","1,952.00",-4,-0.20%
PFD,PREMIER FOODS PLC ORD 10P,GBX,799.55,93.6,-0.2,-0.21%
BIFF,BIFFA PLC ORD GBP0.01,GBX,715.6,234,-0.5,-0.21%
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,299.55","1,168.00",-2.5,-0.21%
AGT,AVI GLOBAL TRUST PLC ORD 10P,GBX,961.3,914,-2,-0.22%
ACI,ALTERNATIVE CREDIT INVESTMENTS PLC ORD GBP0.01,GBX,639.17,868,-2,-0.23%
UDG,UDG HEALTHCARE PLC ORD EUR0.05,GBX,"2,043.41",810,-2,-0.25%
BBH,BB HEALTHCARE TRUST PLC RED ORD 1P,GBX,964.26,192.5,-0.5,-0.26%
CEY,CENTAMIN PLC ORD NPV (DI),GBX,"1,307.96",112.85,-0.3,-0.27%
POLY,POLYMETAL INTERNATIONAL PLC ORD NPV,GBX,"7,723.66","1,632.50",-4.5,-0.28%
SPX,SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,GBX,"8,531.36","11,535.00",-35,-0.30%
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"9,026.86","6,450.00",-20,-0.31%
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"44,705.06","9,608.00",-30,-0.31%
AV.,AVIVA PLC ORD 25P,GBX,"13,479.26",342,-1.1,-0.32%
ENT,ENTAIN PLC ORD EUR0.01,GBX,"7,713.34","1,313.50",-4.5,-0.34%
CCC,COMPUTACENTER PLC ORD 7 5/9P,GBX,"2,659.49","2,322.00",-8,-0.34%
SMWH,WH SMITH PLC ORD 22 6/67P,GBX,"2,231.50","1,699.00",-6,-0.35%
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"26,710.21",37.57,-0.14,-0.36%
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P,GBX,"1,031.61","1,112.00",-4,-0.36%
BBY,BALFOUR BEATTY PLC ORD 50P,GBX,"1,872.15",272,-1,-0.37%
FDM,FDM GROUP (HOLDINGS) PLC ORD 1P,GBX,"1,153.06","1,052.00",-4,-0.38%
SYNC,SYNCONA LIMITED ORD NPV,GBX,"1,727.91",259,-1,-0.39%
NESF,NEXTENERGY SOLAR FUND LIMITED RED ORD NPV,GBX,609.09,103.4,-0.4,-0.39%
WPP,WPP PLC ORD 10P,GBX,"9,974.20",810.8,-3.2,-0.39%
HMSO,HAMMERSON PLC ORD 5P,GBX,928.72,22.8,-0.09,-0.39%
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,GBX,"9,180.31","5,006.00",-20,-0.40%
JEO,EUROPEAN OPPORTUNITIES TRUST PLC ORD 1P,GBX,804.53,738,-3,-0.41%
BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 2.5P,GBX,861.11,147.6,-0.6,-0.41%
JESC,JPMORGAN EURO SMALL CO. TRUST PLC ORD 5P,GBX,781.37,488,-2,-0.41%
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 25P,GBX,"3,316.16","2,405.00",-10,-0.41%
CTY,CITY OF LONDON INVESTMENT TRUST PLC ORD 25P,GBX,"1,521.88",356,-1.5,-0.42%
SAIN,SCOTTISH AMERICAN INV CO PLC ORD 25P,GBX,775.56,471,-2,-0.42%
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"15,103.32","1,525.50",-6.5,-0.42%
AUTO,AUTO TRADER GROUP PLC ORD 1P,GBX,"5,563.16",573.2,-2.6,-0.45%
BHP,BHP GROUP PLC ORD $0.50,GBX,"44,205.66","2,083.50",-9.5,-0.45%
SMWH,WH SMITH PLC ORD 22 6/67P,GBX,"2,231.50","1,697.00",-8,-0.47%
FRAS,FRASERS GROUP PLC ORD 10P,GBX,"2,433.64",466.4,-2.2,-0.47%
