Code	Name	Currency	Market cap (m)	Price	Change	Change %
BRSC	BLACKROCK SMALLER COMPANIES TST PLC ORD 25P	GBX	833.04	1,710.00	4.00	0.23%
GFS	G4S PLC ORD 25P	GBX	4,043.46	261.20	0.60	0.23%
MSLH	MARSHALLS PLC ORD 25P	GBX	1,318.34	660.50	1.50	0.23%
RB.	RECKITT BENCKISER GROUP PLC ORD 10P	GBX	43,906.68	6,174.00	14.00	0.23%
DCC	DCC PLC ORD EUR0.25	GBX	5,635.66	5,730.00	12.00	0.21%
HFG	HILTON FOOD GROUP PLC ORD 10P	GBX	866.96	1,060.00	2.00	0.19%
EDIN	EDINBURGH INV TST PLC ORD 25P	GBX	940.12	547.00	1.00	0.18%
FEV	FIDELITY EUROPEAN VALUES PLC ORD 2.5P	GBX	1,160.33	282.50	0.50	0.18%
SVT	SEVERN TRENT PLC ORD 97 17/19P	GBX	5,420.15	2,273.00	4.00	0.18%
FLTR	FLUTTER ENTERTAINMENT PLC ORD EUR0.09	GBX	25,015.63	14,290.00	25.00	0.18%
SBRY	SAINSBURY(J) PLC ORD 28 4/7P	GBX	5,203.04	234.30	0.40	0.17%
RHIM	RHI MAGNESITA N.V. ORD EUR1.00 (DI)	GBX	1,888.90	3,882.00	6.00	0.16%
ULE	ULTRA ELECTRONICS HOLDINGS PLC ORD 5P	GBX	1,382.82	1,947.00	3.00	0.15%
TRIG	THE RENEWABLES INFRASTRUCTURE GROUP ORD NPV	GBX	2,493.46	131.20	0.20	0.15%
UKCM	UK COMMERCIAL PROPERTY REIT LIMITED ORD 25P	GBX	875.80	67.50	0.10	0.15%
PETS	PETS AT HOME GROUP PLC ORD 1P	GBX	2,070.00	414.60	0.60	0.15%
EWI	EDINBURGH WORLDWIDE INV TRUST PLC ORD 1P	GBX	1,576.32	415.00	0.50	0.12%
SSPG	SSP GROUP PLC ORD 1 17/200P	GBX	1,818.37	338.60	0.40	0.12%
CNA	CENTRICA PLC ORD 6 14/81P	GBX	3,097.35	52.84	0.06	0.11%
WMH	WILLIAM HILL PLC ORD 10P	GBX	2,836.90	270.30	0.30	0.11%
AZN	ASTRAZENECA PLC ORD SHS $0.25	GBX	95,682.60	7,296.00	7.00	0.10%
DPLM	DIPLOMA PLC ORD 5P	GBX	2,964.61	2,382.00	2.00	0.08%
